Station,Station ID,Station Name,Rail Lines Served,Jurisdiction,TOD Place Type,Area Population (2010),Station Type,Transit Score,Station Facility Score,Parking Score,Bike Access Score,Ped Access Score,TOD Zoning Score,Development Market,Total Rail Lines,Modes Served,Transit Connections,Connecting Bus Routes,Connecting Bus Routes (Text),Weekday Ridership: MARC Penn,Weekday Ridership: MARC Camden,Weekday Ridership: MARC Brunswick,Weekday Ridership: Metro,Weekday Ridership: Light Rail,Weekend Ridership: MARC Penn,Weekend Ridership: MARC Camden,Weekend Ridership: MARC Brunswick,Weekend Ridership: Metro,Weekend Ridership: Light Rail,Frequency of Service Weekday: MARC Penn,Frequency of Service Weekday: MARC Camden,Frequency of Service Weekday: MARC Brunswick,Frequency of Service Weekday: Metro,Frequency of Service Weekday: Light Rail,Frequency of Service Weekend: MARC Penn,Frequency of Service Weekend: MARC Camden,Frequency of Service Weekend: MARC Brunswick,Frequency of Service Weekend: Metro,Frequency of Service Weekend: Light Rail,Track Crossing,Schedule Information,Route Information,Ticket Booth/Machine,Shelter,Benches,Public Restrooms,Public Phones,Parking Spots Regular,Parking Fee,Parking Spots ADA,EVC Charge Stations,EVC Charge Stations Occupied,Vehicles Parked (2010),Vehicles Parked (2014),Utilization Rate (2014) ,Spaces relative to number of Average Daily Riders (Weekday) Total lines,Spaces relative to number of Average Daily Riders (Weekend) Total lines,Spaces relative to other stations on the same line,Intersection Density (1 Mile Diameter),Short Trip Opportunity Analysis (1 Mile Buffer),Number of Bicycle Racks,Type of Bicycle Racks,Number of Bicycle Lockers,Number of Bicycle Lockers Occupied,Locally Designated TOD,Zoning Summary,Local Zoning Descriptions,Area Master plans,Residential Alterations (units),Residentail Alterations (permits),Residential New Construction (permits),Residential New Construction (units),Non Residential Alterations (permits),Non Residentail New Contruction (permits),Mixed-Use New Construction (permits),Mixed-Use New Construction (units),Count of MD Property View Parcels,Cumulative Composite Score (YEARBLT score x SQFTSTRC score),Location
Twinbrook,94,Twinbrook,WMATA Metro,Montgomery County,,,,,,,,,,,1,3,WMATA Metrobus; Local Transit,"WMATA Metrobus, Ride On","WMATA Metrobus, Ride On",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(39.061249, -77.119564)"
Naylor Road,92,Naylor Road,WMATA Metro,Prince George's County,,,,,,,,,,,1,3,WMATA Metrobus; Local Transit,"WMATA Metrobus Routes, TheBus 32","WMATA Metrobus Routes, TheBus 32",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(38.8513, -76.956742)"
Branch Avenue,91,Branch Avenue,WMATA Metro,Prince George's County,,,,,,,,,,,1,3,WMATA Metrobus; Local Transit,"C11, C12, C13, C14, K12, TheBus 30","C11, C12, C13, C14, K12, TheBus 30",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(38.828703, -76.920177)"
Duffields,74,Duffields,MARC: Brunswick Line,West Virginia,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(39.381549, -77.87435)"
Union Station,1,Union Station,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(38.897595, -77.028886)"
Shady Grove,93,Shady Grove,WMATA Metro,Montgomery County,,,,,,,,,,,1,4,Commuter Bus; WMATA Metrobus; Local Transit,"201, 202, 505, 515, WMATA Metrobus, Ride On","201, 202, 505, 515, WMATA Metrobus, Ride On",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(39.119828, -77.164441)"
Milford Mill,6,Milford Mill,Metro,Baltimore County,"Town, Suburban, or Employment Center",319823,Anchor,5,3,5,2,4,1,1,1,2,BaltimoreLink Core Bus,"081, 085","81, 85",,,,1433.36,,,,,583.25,,,,,116,,,,,70,,Grade Separated,Yes,Yes,Yes,Yes,Yes,No,Yes,1000,No,44,0,0,677,535,79,0.55,1.39,2.42,86.5942,6,2,2 Inverted U,10,0,Yes,DR 5.5 - Med density residential,http://www.baltimorecountymd.gov/Agencies/planning/zoning/classifications.html,Master Plans\Baltimore Metro\Milford Mill\pikesvillerevitalizationplan2003.pdf,0,11,8,8,0,1,0,0,,,"(39.359546, -76.721415)"
Penn North,11,Penn North,Metro,Baltimore City,Urban Neighborhood,623771,Neighborhood,5,3,4,3,5,5,4,1,2,BaltimoreLink Core Bus,"022, 085, CityLink Gold, CityLink Lime","22, 85, CityLink Gold, CityLink Lime",,,,2444.95,,,,,1220,,,,,117,,,,,71,,Below Grade,Yes,Yes,Yes,Yes,Yes,No,Yes,0,No,0,0,0,0,,,0,0,0,342.556,8,0,N/A,0,,No,TOD-1 Transit Oriented Development,http://cityview.baltimorecity.gov/,,3,249,5,265,0,4,0,0,,,"(39.309933, -76.642858)"
Seabrook,59,Seabrook,MARC: Penn Line,Prince Georges County,"Town, Suburban, or Employment Center",231434,Anchor,2,2,4,1,2,3,1,1,2,WMATA Bus,B27,B27,431.08,,,,,,,,,,,,,,,0,,,,,Grade Separated,Yes,Yes,No,Yes,Yes,Yes,No,257,No,10,0,0,239,284,119,0.628105906,,0.658454868,92.9614,3,3,2 Inverted U; 1 Wave,10,10,No,"C-M, C-A, C-S-C, R-80",http://lis.princegeorgescountymd.gov/default.asp?File=&Type=TOC,,,,,,,,,,1229,226,"(38.9725, -76.8443)"
Warren Road,44,Warren Road,Light Rail,Baltimore County,"Town, Suburban, or Employment Center",85777,Anchor,4,2,1,4,1,3,1,1,2,BaltimoreLink Core Bus,093,93,,,,,281.96,,,,,,,,,,72,,,,,72,On Grade & Separated Right-of-Way,Yes,Yes,No,Yes,Yes,No,Yes,341,No,8,0,0,43,39,91,1.08,,3.48174505,16.5548,2,0,N/A,0,,Yes,"ML-IM Light Manufacturing, Office",http://www.baltimorecountymd.gov/Agencies/planning/zoning/classifications.html,,0,3,0,0,0,4,0,0,,,"(39.475048, -76.653073)"
Martinsburg,73,Martinsburg,MARC: Brunswick Line; Amtrak,West Virginia,,,,,,,,,,,1,2,Local Transit; Amtrak,Eastern Panhandle Transit Authority (PanTran),Eastern Panhandle Transit Authority (PanTran),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(39.477293, -78.036142)"
Patapsco,26,Patapsco,Light Rail,Baltimore County,"Town, Suburban, or Employment Center",372674,Anchor,3,1,1,2,2,1,2,1,2,BaltimoreLink Core Bus,"029, 069, 070, 071, 073, 075, CityLink Yellow","29, 69, 70, 71, 73, 75, CityLink Yellow",,,,,1219.7,,,,,,,,,,90,,,,,72,On Grade & Separated Right-of-Way,No,Yes,Yes,Yes,Yes,No,No,164,No,3,0,0,93,89,96,0.12,,1.674504951,71.3129,3,2,2 Inverted U,0,,Yes,DR-5.5 Residential,http://www.baltimorecountymd.gov/Agencies/planning/zoning/classifications.html,,0,8,27,27,0,1,0,0,,,"(39.241924, -76.630071)"
Mount Washington,39,Mount Washington,Light Rail,Baltimore City,Urban Neighborhood,460390,Neighborhood,3,2,1,3,4,5,3,1,2,BaltimoreLink Core Bus,034,34,,,,,430.85,,,,,,,,,,90,,,,,72,On Grade & Separated Right-of-Way,Yes,Yes,Yes,Yes,Yes,No,No,79,No,6,2,0,75,73,97,0.16,,0.806621287,87.8676,7,3,2 Swerve; 1 Bicycle Shaped,0,,No,"I-2  OR-2 Office, Residential",http://cityview.baltimorecity.gov/,,0,48,18,41,0,2,0,0,,,"(39.36831, -76.652334)"
Cherry Hill,27,Cherry Hill,Light Rail,Baltimore City,Urban Neighborhood,432625,Neighborhood,3,3,3,3,3,5,1,1,2,BaltimoreLink Core Bus,"026, 071","26, 71",,,,,677.96,,,,,,,,,,90,,,,,72,On Grade & Separated Right-of-Way,Yes,Yes,Yes,Yes,Yes,No,Yes,0,No,0,0,0,0,,,0,,0,61.1253,5,2,2 Inverted U,0,,No,I-2 TOD-4 Transit Oriented Development,http://cityview.baltimorecity.gov/,,0,5,0,0,0,2,0,0,,,"(39.25728, -76.633481)"
